
*****  Inicio del nueva ejecucion lineas reservadas 15, Memoria Reservada! *****
ID: 0 | Accion:  Proceso Almacenado en Memoria   | Tipo:  Desasignacion  | Hora: 2024-05-09 22:52:48 | Lineas: 7
ID: 2 | Accion:  Proceso Creado                  | Tipo:   Asignación    | Hora: 2024-05-09 22:52:48 | Lineas: 4
ID: 1 | Accion:  Aplicando el metodo             | Tipo:   Asignación    | Hora: 2024-05-09 22:52:58 | Lineas: 5
*****  Finalizacion del programa, Memoria Liberada! *****
*****  Inicio del nueva ejecucion lineas reservadas 15, Memoria Reservada! *****
ID: 0 | Accion:  Proceso Creado                  | Tipo:   Asignación    | Hora: 2024-05-09 22:57:34 | Lineas: 9
ID: 1 | Accion:  Proceso Creado                  | Tipo:   Asignación    | Hora: 2024-05-09 22:57:44 | Lineas: 8
*****  Finalizacion del programa, Memoria Liberada! *****
*****  Inicio del nueva ejecucion lineas reservadas 15, Memoria Reservada! *****
ID: 0 | Accion:  Proceso Creado                  | Tipo:   Asignación    | Hora: 2024-05-09 23:03:19 | Lineas: 4
*****  Finalizacion del programa, Memoria Liberada! *****
